,Compound Name,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleA_1_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleA_2_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_1_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_2_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_3_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_4_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_3-20170326-960MIX_SampleA_4_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_4-20170326-960MIX_SampleA_5_Retention Time,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleA_1_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleA_2_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_1_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_2_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_3_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
0,1,12.61155,12.58465,12.26965,12.1393,12.07245,11.95655,12.456833333333,12.414566666667,23166.278,22576.045,99713.379,96686.915,98205.0,96263.139,22636.372,22781.773,C19H24N2S,313.1734,12.27,4.44,0.0,4/1,22790.117,1.163766937359216,97717.10824999999,1.607087157965911,4.287696647191412,0.9656974430611287
1,2,15.767016666667,15.79795,15.893916666667,15.779733333333,15.790366666667,15.8003,15.79695,15.807666666667,30434.847,29928.927,972.306,830.044,1379.858,1436.991,29520.671,27421.438,C24H30F2O6,453.2079,15.98,0.05,0.0,1/16,29326.47075,4.514429434404491,1154.79975,25.93294985908666,0.03937738570196006,0.7875477140392012
2,3,26.06685,26.1076,26.052266666667,26.050233333333,26.071216666667,26.076466666667,26.064783333333,26.051016666667,1953.307,1752.842,973.089,1026.198,1145.464,1131.251,1664.856,1911.134,C26H32F2O7,495.2184,26.16,0.54,0.001,1/2,1820.53475,7.414038834542314,1069.0005,7.780373703313513,0.5871903845834309,1.0873896010804274
3,4,13.0747,13.104783333333,12.9296,12.884083333333,12.8459,12.791666666667,13.029966666667,12.988183333333,62384.379,69723.054,80585.748,92430.085,89583.518,87142.369,64259.569,71723.984,C21H23ClFNO2,376.1464,13.0,1.35,0.014,1/1,67022.74650000001,6.591044730711851,87435.43000000001,5.777856490498641,1.3045635185958844,0.9663433471080625
4,5,12.441066666667,12.42765,12.4993,12.469616666667,12.474916666667,12.47685,12.428,12.429066666667,30443.275,27848.915,29288.523,28890.775,32629.701,33805.482,27074.38,25232.406,C26H28Cl2N4O4,531.1562,12.32,1.17,0.284,1/1,27649.744000000002,7.817935445819709,31153.620250000004,7.821062475392237,1.1267236416366098,0.9630116595184699
5,6,3.3075,3.30975,3.286566666667,3.29355,3.281516666667,3.283283333333,3.292916666667,3.28765,56644.642,50830.525,11760.625,13241.045,14611.994,13543.399,54936.385,51840.332,C18H34N2O6S,407.2227,3.16,0.28,0.0,1/4,53562.971,5.034650506578788,13289.265749999999,8.853867641691311,0.24810546356735885,0.8860909413119958
6,7,12.654883333333,12.613316666667,12.341483333333,12.2393,12.129616666667,12.0567,12.528983333333,12.47205,82128.461,79142.058,40902.914,41952.29,40916.44,41124.813,81784.749,75013.708,C20H23N,278.1905,12.21,0.54,0.0,1/2,79517.24399999999,4.131750993198215,41224.11425,1.2030861117206644,0.5184298672373505,0.9600553096987972
7,8,25.008416666667,25.038333333333,24.998166666667,25.008633333333,25.0411,25.0312,24.981683333333,25.027583333333,1161.854,1100.983,535.796,555.241,600.251,609.897,1069.944,1103.177,C22H32O3,345.2421,25.17,0.54,0.0,1/2,1108.9895,3.4600337838009767,575.29625,6.172108092148615,0.5187571658703712,0.9606614182784652
8,9,3.988783333333,3.975383333333,3.939016666667,3.918166666667,3.890983333333,3.892566666667,3.95905,3.94045,26368.821,25723.499,59398.561,58151.329,62064.968,63870.012,27192.154,26465.722,C15H25NO3,268.1907,3.98,2.06,0.001,2/1,26437.549,2.2745510911209683,60871.2175,4.240060609976534,2.3024531320963226,1.1176956951923895
9,10,24.7786,24.76185,24.519516666667,24.473,24.403816666667,24.377066666667,24.674366666667,24.633933333333,9871.055,9401.557,46760.124,42803.453,42866.585,42190.812,9986.174,10184.699,C18H14Cl4N2O,416.9905,24.66,3.91,0.0,4/1,9860.87125,3.37175912973854,43655.243500000004,4.792637074155114,4.427118293426659,1.1322553180119332
10,11,12.4269,12.413483333333,12.111,12.037966666667,11.95695,11.855883333333,12.3285,12.271566666667,109337.033,106595.955,25951.769,26568.927,26966.822,23891.493,100579.029,99165.914,C19H21N,264.1749,11.99,0.27,0.0,1/4,103919.48275,4.65717366934794,25844.75275,5.291197720185478,0.24869978242843016,0.921110305290482
11,12,3.436983333333,3.439233333333,3.430716666667,3.409866666667,3.411683333333,3.413266666667,3.422583333333,3.417483333333,7855.234,9107.845,125482.963,141714.56,151410.835,132746.879,8275.121,8065.84,C16H18FN3O3,320.1409,3.61,16.15,0.0,16/1,8326.009999999998,6.590042096838827,137838.80925,8.141567776438134,16.555205824878907,1.0250901439553504
